source_product,canonical_item,subtype,spec,mapping_include
CJ 1등급 깨끗한 계란(10개),계란,일반계란,10개,O
CJ 1등급 깨끗한 계란(15개),계란,일반계란,15개,O
곰표 밀가루 중력다목적용(1kg),밀가루,중력분,1kg,O
곰표 우리밀밀가루 중력분(900g),밀가루,중력분,900g,O
남양 아인슈타인 무항생제 우유(900ml),우유,무항생제우유,900ml,O
남양유업 맛있는우유GT(900ml),우유,일반우유,900ml,O
덴마크 대니쉬우유 오리지널(900ml),우유,일반우유,900ml,O
덴마크 산양우유(750ml),우유,산양우유,750ml,O
매일 소화가 잘되는 우유(930ml),우유,락토프리우유,930ml,O
매일우유 오리지널(900ml),우유,일반우유,900ml,O
매일우유 저지방 1%(900ml),우유,저지방우유,900ml,O
바프 허니버터아몬드(120g),,,120g,X
백설 갈색설탕(1kg),설탕,갈색설탕,1kg,O
백설 박력 밀가루(1kg),밀가루,박력분,1kg,O
백설 브라운 자일로스 설탕(1kg),설탕,자일로스설탕,1kg,O
백설 자일로스 설탕(1kg),설탕,자일로스설탕,1kg,O
백설 중력 밀가루(1kg),밀가루,중력분,1kg,O
백설 찰밀가루(1kg),밀가루,찰밀가루,1kg,O
백설 하얀설탕(1kg),설탕,백설탕,1kg,O
백설 흑설탕(1kg),설탕,흑설탕,1kg,O
버터롤 클래식(21개입),,,21개입,X
상하목장 슬로우버터 무염(100g),버터,무염버터,100g,O
서울 저지방 우유(1L),우유,저지방우유,1L,O
서울우유 버터(450g),버터,가염여부 미확인,450g,O
서울우유 저지방 우유(1L),우유,저지방우유,1L,O
서울우유 체다슬라이스치즈(270g),,,270g,X
서울우유 체다슬라이스치즈(360g),,,360g,X
서울우유 흰우유(1L),우유,일반우유,1L,O
알라 무염버터(400g),버터,무염버터,400g,O
청정원 유기농 황설탕(454g),설탕,유기농 황설탕,454g,O
청정원 유기농 흑설탕(454g),설탕,유기농 흑설탕,454g,O
촉촉한 우유식빵(330g),,,330g,X
큐원 갈색설탕(1kg),설탕,갈색설탕,1kg,O
큐원 강력 밀가루(1kg),밀가루,강력분,1kg,O
큐원 박력 밀가루(1kg),밀가루,박력분,1kg,O
큐원 중력 밀가루(1kg),밀가루,중력분,1kg,O
큐원 하얀설탕(1kg),설탕,백설탕,1kg,O
큐원 흑설탕(1kg),설탕,흑설탕,1kg,O
파스퇴르 프리미엄 홈버터(450g),버터,가염여부 미확인,450g,O
파스퇴르우유 후레쉬(900ml),우유,일반우유,900ml,O
파오리 그란본따 무염 버터(250g),버터,무염버터,250g,O
폰테라 앵커버터(227g),버터,가염여부 미확인,227g,O
해표 우리밀 밀가루(750g),밀가루,유형 미확인,750g,O
해표 중력 밀가루(1kg),밀가루,중력분,1kg,O
허니버터아몬드(190g),,,190g,X
